mass_g,kingdom,phylum,class,order,family,genus,species
94.33,Animalia,Chordata,Mammalia,Rodentia,Gliridae,Eliomys,Eliomys melanurus
230.0,Animalia,Chordata,Mammalia,Rodentia,Gliridae,Eliomys,Eliomys morpheus
83.3,Animalia,Chordata,Mammalia,Rodentia,Gliridae,Eliomys,Eliomys munbyanus
101.9,Animalia,Chordata,Mammalia,Rodentia,Gliridae,Eliomys,Eliomys quercinus
92.8,Animalia,Chordata,Mammalia,Rodentia,Nesomyidae,Eliurus,Eliurus antsingy
95.5,Animalia,Chordata,Mammalia,Rodentia,Nesomyidae,Eliurus,Eliurus danieli
100.0,Animalia,Chordata,Mammalia,Rodentia,Nesomyidae,Eliurus,Eliurus ellermani
51.0,Animalia,Chordata,Mammalia,Rodentia,Nesomyidae,Eliurus,Eliurus grandidieri
100.0,Animalia,Chordata,Mammalia,Rodentia,Nesomyidae,Eliurus,Eliurus majori
41.28,Animalia,Chordata,Mammalia,Rodentia,Nesomyidae,Eliurus,Eliurus minor
67.42,Animalia,Chordata,Mammalia,Rodentia,Nesomyidae,Eliurus,Eliurus myoxinus
75.0,Animalia,Chordata,Mammalia,Rodentia,Nesomyidae,Eliurus,Eliurus petteri
87.5,Animalia,Chordata,Mammalia,Rodentia,Nesomyidae,Eliurus,Eliurus tanala
69.54,Animalia,Chordata,Mammalia,Rodentia,Nesomyidae,Eliurus,Eliurus webbi
66.3,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Ellobius,Ellobius alaicus
80.0,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Ellobius,Ellobius fuscocapillus
108.0,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Ellobius,Ellobius lutescens
51.75,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Ellobius,Ellobius tancrei
8.29,Animalia,Chordata,Aves,Passeriformes,Stenostiridae,Elminia,Elminia albicauda
8.9,Animalia,Chordata,Aves,Passeriformes,Stenostiridae,Elminia,Elminia albiventris
9.2,Animalia,Chordata,Aves,Passeriformes,Stenostiridae,Elminia,Elminia albonotata
9.925,Animalia,Chordata,Aves,Passeriformes,Stenostiridae,Elminia,Elminia longicauda
9.04,Animalia,Chordata,Aves,Passeriformes,Stenostiridae,Elminia,Elminia nigromitrata
4.56e-05,Animalia,Arthropoda,Insecta,Coleoptera,Elmidae,Elmis,Elmis aenea
51320.0,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Elopichthys,Elopichthys bambusa
8156.0,Animalia,Chordata,Actinopteri,Elopiformes,Elopidae,Elops,Elops hawaiensis
70.12,Animalia,Chordata,Actinopteri,Elopiformes,Elopidae,Elops,Elops lacerta
4969.0,Animalia,Chordata,Testudines,Testudines,Chelidae,Elseya,Elseya albagula
3879.0,Animalia,Chordata,Testudines,Testudines,Chelidae,Elseya,Elseya branderhorsti
4295.0,Animalia,Chordata,Testudines,Testudines,Chelidae,Elseya,Elseya dentata
3647.0,Animalia,Chordata,Testudines,Testudines,Chelidae,Elseya,Elseya irwini
3599.0,Animalia,Chordata,Testudines,Testudines,Chelidae,Elseya,Elseya lavarackorum
2781.0,Animalia,Chordata,Testudines,Testudines,Chelidae,Elseya,Elseya novaeguineae
1322.0,Animalia,Chordata,Testudines,Testudines,Chelidae,Elseya,Elseya schultzei
31.48,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Elseyornis,Elseyornis melanops
4000.0,Animalia,Chordata,Testudines,Testudines,Chelidae,Elusor,Elusor macrurus
3.05,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Microchera,Microchera chionura
23.3,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Emarginata,Emarginata schlegelii
17.85,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Emarginata,Emarginata sinuata
20.8,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Emarginata,Emarginata tractrac
5.267,Animalia,Chordata,Mammalia,Chiroptera,Emballonuridae,Emballonura,Emballonura alecto
4.55,Animalia,Chordata,Mammalia,Chiroptera,Emballonuridae,Paremballonura,Paremballonura atrata
9.726,Animalia,Chordata,Mammalia,Chiroptera,Emballonuridae,Emballonura,Emballonura dianae
12.76,Animalia,Chordata,Mammalia,Chiroptera,Emballonuridae,Emballonura,Emballonura furax
5.262,Animalia,Chordata,Mammalia,Chiroptera,Emballonuridae,Emballonura,Emballonura monticola
5.6,Animalia,Chordata,Mammalia,Chiroptera,Emballonuridae,Emballonura,Emballonura raffrayana
5.605,Animalia,Chordata,Mammalia,Chiroptera,Emballonuridae,Emballonura,Emballonura raffrayana
6.297,Animalia,Chordata,Mammalia,Chiroptera,Emballonuridae,Emballonura,Emballonura semicaudata
8.8,Animalia,Chordata,Mammalia,Chiroptera,Emballonuridae,Emballonura,Emballonura serii
15.36,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza affinis
20.13,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza aureola
24.82,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza bruniceps
21.17,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza buchanani
24.64,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza cabanisi
21.8,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza caesia
48.8,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza calandra
21.04,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza capensis
23.5,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza cia
21.37,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza cioides
24.88,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza cirlus
29.0,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza citrinella
16.94,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza elegans
18.23,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza flaviventris
19.8,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza fucata
21.04,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza godlewskii
13.63,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza goslingi
22.97,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza hortulana
22.08,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza jankowskii
22.69,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza koslowi
21.8,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza lathami
27.94,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza leucocephalos
28.53,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza melanocephala
18.37,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza pallasi
15.8,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza poliopleura
14.83,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza pusilla
20.31,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza rustica
17.49,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza rutila
14.8,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza sahari
18.5,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza schoeniclus
18.0,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza siemsseni
14.46,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza socotrana
18.07,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza spodocephala
16.23,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza stewarti
14.87,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza striolata
14.9,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza sulphurata
17.92,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza tristrami
24.21,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza variabilis
21.92,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza vincenti
13.5,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza yessoensis
